Input file: /home/a-m/ib501_stud12/shell/Grobelny_hw6_output/velvetout_kmer_41_opts_min_contig_len_500/contigs.fa
 
#--- Velvethg_qc: Assembly Quality Stats ---#

Stats for Assembly:	/home/a-m/ib501_stud12/shell/Grobelny_hw6_output/velvetout_kmer_41_opts_min_contig_len_500/contigs.fa
Number of contigs:	20824
Max contig length:	14174
Mean contig length:	1145.62600845
Total length of the genome across all contigs:	23856516
Mean depth of coverage:	29.3688471654
N50 of assembly:	17077612
Contig Length	Number of Contigs in this category
500	4193

600	2762

700	2161

800	1775

900	1393

1000	1205

1100	1011

1200	832

1300	715

1400	574

1500	511

1600	450

1700	359

1800	324

1900	294

2000	254

2100	228

2200	176

2300	170

2400	161

2500	123

2600	108

2700	107

2800	97

2900	80

3000	63

3100	76

3200	63

3300	47

3400	33

3500	41

3600	36

3700	31

3800	37

3900	34

4000	20

4100	24

4200	21

4300	25

4400	18

4500	21

4600	13

4700	9

4800	11

4900	8

5000	13

5100	11

5200	8

5300	7

5400	11

5500	6

5600	5

5700	2

5800	7

5900	4

6000	4

6100	5

6200	2

6300	5

6400	5

6500	4

6600	4

6700	1

6900	3

7000	1

7200	2

7300	2

7400	2

7500	1

7700	2

8000	1

8400	1

9000	1

9500	1

9600	1

9700	1

10500	2

11100	1

12400	1

12600	1

13500	1

14100	1

