Input file: /home/a-m/ib501_stud12/shell/Grobelny_hw6_output/velvetout_kmer_49_opts_cutoff_4min_contig_len_500/contigs.fa
 
#--- Velvethg_qc: Assembly Quality Stats ---#

Stats for Assembly:	/home/a-m/ib501_stud12/shell/Grobelny_hw6_output/velvetout_kmer_49_opts_cutoff_4min_contig_len_500/contigs.fa
Number of contigs:	17644
Max contig length:	25713
Mean contig length:	1538.61278622
Total length of the genome across all contigs:	27147284
Mean depth of coverage:	24.4140528254
N50 of assembly:	20755606
Contig Length	Number of Contigs in this category
500	2664

600	1829

700	1474

800	1258

900	1065

1000	916

1100	832

1200	727

1300	620

1400	560

1500	470

1600	424

1700	371

1800	338

1900	310

2000	301

2100	285

2200	225

2300	199

2400	209

2500	159

2600	175

2700	157

2800	140

2900	135

3000	88

3100	126

3200	88

3300	86

3400	79

3500	77

3600	54

3700	64

3800	74

3900	50

4000	43

4100	58

4200	39

4300	51

4400	47

4500	42

4600	42

4700	35

4800	39

4900	34

5000	39

5100	26

5200	23

5300	19

5400	30

5500	29

5600	23

5700	24

5800	22

5900	9

6000	15

6100	21

6200	12

6300	18

6400	15

6500	8

6600	10

6700	13

6800	9

6900	15

7000	14

7100	6

7200	7

7300	8

7400	9

7500	6

7600	5

7700	8

7800	1

7900	6

8000	6

8100	5

8200	9

8300	3

8400	7

8500	8

8600	5

8700	7

8800	6

8900	4

9000	3

9100	3

9200	7

9300	1

9400	3

9500	3

9800	4

9900	4

10000	3

10100	2

10200	4

10300	2

10500	1

10800	2

11000	2

11100	1

11300	1

11400	1

11700	1

11800	2

12000	1

12100	1

12200	1

12700	1

12800	1

13000	1

13200	1

13500	2

13700	2

13800	1

13900	2

14000	2

14100	1

14300	1

16200	1

17100	1

17400	1

19100	1

19300	1

25100	1

25700	1

