Input file: /home/a-m/ib501_stud12/shell/Grobelny_hw6_output/velvetout_kmer_49_opts_cutoff_automin_contig_len_500/contigs.fa
 
#--- Velvethg_qc: Assembly Quality Stats ---#

Stats for Assembly:	/home/a-m/ib501_stud12/shell/Grobelny_hw6_output/velvetout_kmer_49_opts_cutoff_automin_contig_len_500/contigs.fa
Number of contigs:	14168
Max contig length:	25174
Mean contig length:	1834.42468944
Total length of the genome across all contigs:	25990129
Mean depth of coverage:	26.6415964583
N50 of assembly:	20114511
Contig Length	Number of Contigs in this category
500	1345

600	1179

700	1022

800	950

900	774

1000	748

1100	670

1200	570

1300	539

1400	486

1500	405

1600	365

1700	363

1800	320

1900	321

2000	295

2100	287

2200	221

2300	211

2400	231

2500	173

2600	153

2700	138

2800	143

2900	126

3000	121

3100	140

3200	81

3300	98

3400	98

3500	85

3600	92

3700	70

3800	75

3900	42

4000	55

4100	59

4200	57

4300	56

4400	58

4500	47

4600	50

4700	37

4800	48

4900	36

5000	40

5100	35

5200	19

5300	38

5400	28

5500	26

5600	25

5700	24

5800	23

5900	18

6000	23

6100	22

6200	19

6300	19

6400	13

6500	13

6600	12

6700	19

6800	22

6900	16

7000	10

7100	13

7200	9

7300	12

7400	15

7500	9

7600	6

7700	13

7800	10

7900	4

8000	6

8100	4

8200	5

8300	7

8400	9

8500	11

8600	6

8700	4

8800	5

8900	2

9000	4

9200	9

9300	2

9400	2

9500	2

9600	10

9700	1

9800	4

9900	1

10000	3

10100	1

10200	1

10300	1

10400	2

10500	1

10600	4

10700	1

10800	4

10900	1

11000	3

11100	4

11200	2

11300	1

11400	2

11500	1

11600	1

11700	2

11800	1

11900	1

12000	1

12100	1

12200	2

12400	1

12500	1

12600	1

12700	2

12900	2

13000	1

13200	3

13400	1

13500	2

13700	2

13900	3

14000	2

14100	2

14500	1

14600	1

15000	1

15500	1

16200	1

17100	1

17400	1

19100	1

19300	1

19700	1

19900	1

21300	2

21800	1

25100	1

